name,time on table (in m),occlusion,occlusion through experiment,sizeX,sizeY,occurences,distance
case_1,507.866666667,2.1796875,2.1796875,93,72,1,0
glass_1,507.639333333,2.03125,2.03034076365,80,78,4,390.774482539
mouse,507.765116667,0.504557291667,0.50445640339,31,50,7,97.7226943267
rack_clear,444.066666667,3.08333333333,2.69599413669,148,64,12,889.415391054
glas_tiny,5.29318333333,0.291666666667,0.00303986309836,28,32,1,0
rack_tri,420.898333333,2.158203125,1.78862712977,78,85,9,102.261496213
glass_3,53.453,3.19010416667,0.335758672921,98,100,2,282.729552753
aluminum,5.65296666667,4.53125,0.0504364765194,120,116,1,0
pen_h,66.1639333333,0.229166666667,0.0298554109784,88,8,1,0
blue_1,48.31835,1.9765625,0.188049826736,92,66,2,210.447143007
blue_border,2.0,0.677083333333,0.00266638225256,40,52,1,0
blue_top,347.95,1.35416666667,0.927767704778,80,52,3,507.951367781
glass_2,475.38205,2.26953125,2.12436548601,83,84,2,48.0104155366
pip_v,231.716666667,0.838541666667,0.382588763181,23,112,12,904.103475561
blue_3,40.4833333333,1.15104166667,0.0917524352958,68,52,2,25.6124969497
jar_1,5.25,0.227864583333,0.00235551797552,28,25,4,638.976692863
jar_1_cap,1.45,0.150390625,0.00042937727668,21,22,1,0
pen_v,60.6595833333,0.15625,0.0186624965132,8,60,1,0
blue_2,78.3890833333,2.564453125,0.395822649751,101,78,3,134.937235609
pip_h,56.2666666667,1.09375,0.121176818062,140,24,1,0
white_1,16.6666666667,1.68229166667,0.0552077863831,76,68,1,0
pip2_v,85.35,0.935872395833,0.157278896661,25,115,5,426.772431412
jar_2,6.2,0.365234375,0.00445875516868,34,33,2,81.6088230524
jar_2_cap,3.1,0.3125,0.00190748884222,32,30,1,0
pip2_h,9.7,1.46321614583,0.027946698506,155,29,1,0
glass_tiny,176.937216667,0.255208333333,0.0889128094713,28,28,3,444.541705555
large_1,16.0833333333,6.26953125,0.198546129439,180,107,4,179.140296215
physical item,160.177646795,1.37204527244,14.2095462499,69,59,3,199.4563617
hybrid item,16.0833333333,6.26953125,0.198546129439,180,107,4,179.0
