name,time on table (in m),occlusion,occlusion through experiment,sizeX,sizeY
small_1,17.8333333333,2.53515625,0.524481281419,118,66
glass_1,7.77666666667,2.845703125,0.256729520132,94,93
mouse,15.3833333333,0.573893229167,0.10241752717,43,41
pen_1,4.53333333333,0.387369791667,0.0203721158804,85,14
rack_1,21.3666666667,3.27604166667,0.812042810647,136,74
long_1,9.45,1.37239583333,0.150454067575,124,34
glass_small,33.0666666667,0.547200520833,0.209908320443,41,41
tube_1,51.7666666667,0.456705729167,0.274270687315,23,61
jar_1,33.75,0.587890625,0.230177593895,42,43
glove,3.28333333333,1.70768229167,0.0650451298257,43,122
testtube_1,12.9333333333,0.46875,0.0703306264501,20,72
testtube_2,0.533333333333,0.736328125,0.00455578112916,87,26
keyboard,12.6257833333,3.31608072917,0.485709011628,167,61
pen_2,4.36666666667,0.346354166667,0.0175453966873,14,76
box_1,18.7666666667,1.521484375,0.331243504689,82,57
large_1,18.4371166667,4.70052083333,1.00538342225,152,95
small_2,14.4150833333,2.7890625,0.466410305793,126,68
box_2,10.8084833333,1.69010416667,0.211919521079,88,59
cap_1,3.1,0.1796875,0.00646207946636,23,24
pipette_1,2.15,1.31022135417,0.0326795349357,161,25
tag_1,5.68166666667,1.33040364583,0.0876903717836,61,67
pipette_3,0.166666666667,0.875,0.00169180201083,24,112
pipette_2,4.21338333333,1.3046875,0.0637720251474,24,167
physical item,12.8955480392,1.1091260723,2.38483017788,62,64
hybrid item,14.5306444444,2.66726345486,3.04646225947,119,67
