name,time on table (in m),occlusion,occlusion through experiment,sizeX,sizeY
keyboard,22.9,3.40234375,2.43988534055,156,67
mouse,31.9,0.569661458333,0.569066822156,35,50
glass_1,22.5666666667,1.3330078125,0.942010740149,65,63
calc,5.5,0.831705729167,0.143247855232,35,73
large_1,28.5372,3.40234375,3.04050200613,134,78
small_1,17.9166666667,2.513671875,1.4103326021,117,66
tag,0.333333333333,1.841796875,0.0192254371086,69,82
pen,15.0166666667,0.552083333333,0.259617475644,16,106
plate_1,7.4734,18.7486979167,4.38778243248,238,242
plate_2,0.7,10.5989583333,0.23233624739,220,148
Box_1,6.9,3.88313802083,0.839049655859,79,151
Rack,4.73333333333,3.73567708333,0.553722490431,151,76
plate_3,1.95,12.4453125,0.759969500261,162,236
physical item,11.9640066667,5.61005859375,11.1266885602,115,121
hybrid item,15.5957333333,2.5859375,4.47006004534,106,75
